αβγό|яйцо
διαφημιστικός|рекламный
διαφορά|разница
διαφορετικός|разный
διαφορετικά|по-разному
διάφορος|различный
διαφωνώ|не соглашаться
διευθυντής|директор
διεύθυνση|адрес
δικηγόρος|адвокат
δικός|свой
δίκλινο|двухместный номер
δίνω|давать
δίπλα|рядом
διπλανός|соседний
διπλός|двойной
διορθώνω|исправлять
δοκιμάζω|пробовать
δίνομαι|даваться
δουλειά|работа (разг.)
δουλεύω|работать
Δράμα|Драма
δραματικός|драматический
δραστηριότητα|деятельность
δρόμος|улица
δρομολόγιο|расписание
δυάρι|двухкомнатная квартира
δυνατά|громко
δυνατός|сильный
δυνατότητα|возможность
δύο|два
δύσκολα|трудно
δυσκολία|трудность
δύσκολος|трудный
δυστυχώς|к сожалению
δωμάτιο|комната
δωρεάν|бесплатно
δώρο|подарок
εαυτός|сам
εβδομήντα|семьдесят
έβδομος|седьмой
εγγόνι|внук
εγγονός|внук (муж.)
εγγονή|внучка
εγκαίνια|открытие
έγγραφο|документ
εγώ|я
εδώ|здесь
έθιμο|обычай
εθνικότητα|национальность
ειδοποίηση|уведомление
εκτίμηση|уважение
ειδικός|специалист
ειδήσεις|новости
είδος|разновидность
εικόνα|изображение
είμαι|быть
ειρήνη|мир
είσοδος|вход
εισιτήριο|билет
εκατοστίσεις|С днём рождения!
εκδήλωση|мероприятие
εκδρομή|экскурсия
εκπομπή|передача
εκεί|там
εκείνη|она (та)
εκείνον|его (того)
εκείνος|тот
εκκλησία|церковь
έκπληξη|сюрприз
εκπαίδευση|образование
έκπτωση|скидка
εκπτώσεις|распродажа
έκτος|шестой
ελαφρύς|лёгкий (по весу)
Ελένη|Елена
Ελίνα|Элина
Ελλάδα|Греция
Έλληνας|грек
ελληνικός|греческий
ελπίζω|надеяться
Έλσα|Эльза
ελαιόλαδο|оливковое масло
ελεύθερος|свободный
Ελευθερία|Элефтерия
εμείς|мы
εμένα|меня
εμπειρία|опыт
εμφάνιση|внешность
ένας|один (числительное)
ένατος|девятый
ενδιαφέρομαι|интересоваться
ενδιαφέρον|интерес
ενδιαφέρων|интересный
εννέα|девять
ενενήντα|девяносто
ενημερώνω|информировать
ενθουσιάζω|воодушевлять
ενότητα|раздел
ενοίκιο|аренда
ενοικίαση|прокат
ενώνω|соединять
εξετάσεις|экзамены
έξι|шесть
εξηγώ|объяснять
εξήντα|шестьдесят
έξοδος|выход
εξοχή|загород
εξυπηρέτηση|обслуживание
εξυπηρετώ|обслуживать
έξω|снаружи
εξωτερικό|за границей
επάγγελμα|профессия
επαγγελματικός|профессиональный
επαναλαμβάνω|повторять
επειδή|поскольку
επιθυμώ|желать
επικίνδυνος|опасный
επικοινωνώ|связываться
επικοινωνία|общение
επιλέγω|выбирать (офиц.)
έπιπλο|мебель
επίσης|также
επίσημος|официальный
επίσημα|официально
επισκέπτομαι|посещать
επιστρέφω|вернуться
επιτέλους|наконец
επιτυχία|успех
επόμενος|следующий
εποχή|сезон
επώνυμο|фамилия
επώνυμος|знаменитость
εργασία|работа (офиц.)
εργοστάσιο|завод
έρχομαι|приходить
έρευνα|исследование
ερώτηση|вопрос
ερωτηματολόγιο|анкета
εστιατόριο|ресторан
εσύ|ты
εσένα|тебя
εταιρεία|фирма
ετοιμάζω|подготавливать
έτοιμος|готовый
έτος|год (официальное)
έτσι|так
ευγενικός|вежливый
ευκαιρία|шанс
εύκολος|лёгкий (простой)
εύκολα|легко
ευρώ|евро
ευρωπαϊκός|европейский
Ευρωπαίος|европеец
Ευρώπη|Европа
ευτυχία|счастье
ευτυχώς|к счастью
ευχάριστος|приятный
ευχαριστημένος|довольный
ευχαριστώ|благодарить
ευχή|пожелание
εφέ|эффекты
εφημερίδα|газета
εφορία|налоговая инспекция
έχω|иметь
ζάχαρη|сахар
ζέστη|жара
ζεστός|горячий
ζευγάρι|пара
Ζέτα|Зета
Ζήσης|Зисис
ζητάω|просить
ζυμαρικό|паста
Ζυρίχη|Цюрих
ζω|жить
ζωγραφίζω|рисовать (красками)
ζωγραφική|рисование
ζωή|жизнь
ζωηρός|подвижный
ζωντανός|живой
ζώο|животное
ηθοποιός|актёр
ηλεκτρικός|электрический
ηλεκτροπληξία|удар током
ηλικία|возраст
ηλικιωμένος|пожилой
ήλιος|солнце
ημέρα|день (24 часа)
ημερομηνία|дата
ήπιος|мягкий (характер)
ήρεμος|спокойный
ησυχία|тишина
ήσυχος|тихий
θα|будет
θάλασσα|море
Θανάσης|Танасис
θέα|вид
θεατής|зритель
θέατρο|театр
θεατρικός|театральный
θεία|тётя
θείος|дядя
θέλω|хотеть
θέμα|тема
θερμοκρασία|температура
θέση|позиция
θετικά|положительно
θήκη|чехол
Θρησκευτικά|религиоведение
θυμάμαι|помнить
θυμίζω|напоминать
Θωμαή|Томаи
ιδέα|идея
ιδιαίτερα|особенно
ίδιος|тот же
ίδρυμα|учреждение
ιερός|священный
ισόγειο|первый этаж
Ιούνιος|июнь
ικανότητα|способность
ίσιος|прямой
ιστοσελίδα|веб-страница
ιστορία|история
ίσως|возможно
Καβάλα|Кавала
κάδρο|рамка
κάγκελο|перила
καθαρίζω|чистить
καθαρός|чистый (физически)
καθαριστικό|чистящее средство
κάθε|каждый
κάθετα|вертикально
καθημερινά|ежедневно
καθηγητής|преподаватель
καθόλου|совсем
κάθομαι|сидеть
καθρέφτης|зеркало
καθυστέρηση|задержка
και|и
καινούριος|новый
καιρός|погода
καίω|жечь
κακός|плохой
καλά|хорошо
κάλαντα|колядки
καλεσμένος|приглашённый
καλημέρα|доброе утро
καλλιτέχνης|артист
καλλυντικό|косметика
καλοκαίρι|лето
καλός|хороший
καλαμπόκι|кукуруза
Καλλιόπη|Каллиопа
καλύπτω|покрывать
καλώ|вызывать
Καμάρα|арка Галерия
κανάλι|канал
καναπές|диван
κανένας|никто
κανονικός|нормальный
κανονικά|нормально
κάνω|делать
κάνει|стоит (цена)
κάποιος|кто-то
καράβι|корабль
καρδιά|сердце
καρδιολόγος|кардиолог
καρέκλα|стул
Κάρμεν|Кармен
καρναβάλι|карнавал
καρότο|морковь
κάρτα|карта (пластиковая)
καρύδι|грецкий орех
κασκόλ|шарф
κάστρο|замок
κατάθεση|вклад
καταιγίδα|буря
καταλαβαίνω|понимать
κατάλληλος|подходящий
καταπληκτικός|потрясающий
καταπληκτικά|потрясающе
κατάσταση|состояние
κατάστημα|магазин
καταφέρνω|справляться
κατεβαίνω|спускаться
Κατερίνα|Катерина
κατηγορία|категория
Κάτια|Катя
κάτι|что-то
κάτοικος|житель
κατσαρόλα|кастрюля
κάτω|внизу
κέικ|кекс
κείμενο|текст
κενό|пробел
κέντρο|центр
κεφαλαίο|заглавная буква
καφέ|коричневый
καφετέρια|кафе
καφές|кофе
κελί|келья
κεντρικός|центральный
κεραυνός|гром
κεράσι|вишня
κερδίζω|выигрывать
Κέρκυρα|Корфу
κεφάλι|голова
κήπος|сад
κιθάρα|гитара
κιλό|килограмм
κίνδυνος|опасность
κινηματογράφος|кинотеатр
κίνηση|движение
κιόλας|уже
κλασικός|классический
κλειδώνω|запирать
κλείνω|закрывать
κλεισμένος|закрытый
κλειστός|закрыт
κλέφτης|вор
κλοπή|кража
κλόουν|клоун
κόβω|резать
κοιμάμαι|спать
κομμάτι|кусок
κοινωνικός|социальный
κοιτώ|смотреть
κόκκινος|красный
κολλάω|приклеивать
κολόνα|колонна
κολυμβητήριο|бассейн (общественный)
κολύμπι|плавание
Κομοτηνή|Комотини
κομμωτής|парикмахер
κομμωτήριο|парикмахерская
κοντά|близко
κοντός|короткий
κοπέλα|девушка
κόρη|дочь
κορίτσι|девочка
κορυφή|вершина
κόσμημα|украшение
κόσμος|люди
κοστίζω|стоить
κοστούμι|костюм
κοτόπουλο|курица
κουβέρτα|одеяло (шерстяное)
κουζίνα|кухня
κουμπάρος|шафер
κουμπάρα|подружка невесты
κουνουπίδι|цветная капуста
κουταλιά|ложка
κουτί|коробка
κουράζω|утомлять
κούραση|усталость
κουρασμένος|уставший
κουραστικός|утомительный
κουρτίνα|занавеска
κρασί|вино
κρατάω|держать
κρατικός|государственный
κρέας|мясо
κρεβάτι|кровать
κρέμα|крем
Κρήτη|Крит
Κρητικός|критянин
κριθάρι|ячмень
κρύβω|прятать
κρύος|холодный
κρύο|холод
κρυώνω|мёрзнуть
κτίριο|здание
κύκλος|круг
κυλικείο|буфет
κύμα|волна
κυρία|госпожа
Κυριακή|воскресенье
Κυριάκος|Кириакос
κύριος|господин
κωμικός|комический
Κωνσταντινούπολη|Константинополь
Κώστας|Костас
λαβύρινθος|лабиринт
λάθος|ошибка
λαιμός|шея
Λάρισα|Лариса
λαχανικό|овощ
λείπω|отсутствовать
λειτουργία|функция
λειτουργώ|функционировать
λεκές|пятно
λεμόνι|лимон
λέξη|слово
λεξικό|словарь
λεξιλόγιο|словарный запас
λεπτό|минута
λεπτομέρεια|деталь
λεφτά|деньги (разговорное)
λέω|сообщать
λεωφορείο|автобус
λήγω|истекать
ληξιαρχείο|ЗАГС
λιακάδα|солнечный свет
λίγοι|несколько
λίγος|мало
λιμάνι|порт
Λίνκον|Линкольн
Λίτσα|Лица
λιώνω|таять
λογαριασμός|счёт
λόγια|слова
λογοτεχνία|литература
Λονδίνο|Лондон
Λούβρο|Лувр
λουλούδι|цветок
Λύκειο|лицей
λυπάμαι|сожалеть
λύση|решение (задачи)
μμ|после полудня
μα|да
μαγαζί|лавка
μαγιό|купальник
μάγειρας|повар
μαγειρική|кулинария
μαγειρεύω|готовить
μαζεύω|собирать
μαζί|вместе
μαθαίνω|изучать
μάθημα|урок
Μαθηματικά|математика
Μάιος|май
μακαρόνια|макароны
μακάρι|если бы
μακριά|далеко
μαλακός|мягкий (на ощупь)
μαλλιά|волосы
μαλώνω|ссориться
μαμά|мама
Μανόλης|Манолис
μαντεύω|угадывать
μαξιλάρι|подушка
Μαίρη|Мэри
Μάρθα|Марта
Μαρία|Мария
Μαρίνα|Марина
Μαριάννα|Марианна
Μάριος|Мариос
μαρούλι|латук
μάρτυρας|свидетель
μάσκα|маска
Μάρτιος|март
μάτι|глаз
μαχαίρι|нож
μεγάλος|большой
μεγαλώνω|вырастать
μέγαρο|дворец
μελαχρινός|темноволосый
μέλι|мёд
μέλλον|будущее
μεζές|закуска
μειωμένος|сниженный
μένω|оставаться
μέρα|день (сутки)
μερικοί|некоторые
μέρος|часть
μεσημέρι|полдень
μεσημεριανό|обед
μεσίτης|риелтор
μετά|после
μετακίνηση|перемещение
μετακομίζω|переезжать
μεταφέρω|переносить
μετρό|метро
μέτριος|средний
μέχρι|до
μήλο|яблоко
μήνας|месяц
μήνυμα|сообщение
μήπως|может быть
μητέρα|мать
μηχανικός|инженер
μικρός|маленький
μικρόφωνο|микрофон
μιλάω|разговаривать
Μίρκα|Мирка
μισθός|зарплата
μισός|половина
Μιχάλης|Михалис
μνημείο|памятник
μόδα|мода
μολύβι|карандаш
μοναδικός|уникальный
μόνιμα|постоянно
μόνο|только
μονοκατοικία|частный дом
μόνος|один (сам)
μονόκλινο|одноместный номер
μοντέρνος|современный (модный)
μουσακάς|мусака
μουσείο|музей
μουσική|музыка
μουσικός|музыкант
μπαίνω|входить
μπακλαβάς|баклава
μπαλκόνι|балкон
μπαμπάς|папа
Μπάμπης|Бабис
μπανάνα|банан
μπανιέρα|ванна
μπάνιο|ванная
μπαρ|бар
μπερδεύω|путать
μπουκάλι|бутылка
μπλε|синий
μπορώ|мочь
μπουφάν|куртка
μπρόκολο|брокколи
μπροστά|впереди
μπριζόλα|стейк
μπύρα|пиво
μυστικό|секрет
μωρό|младенец
Ναβαρίνου|площадь Наварину
ναός|храм
νέα|новость
νεαρός|юный
Νεκτάριος|Нектариос
νέος|молодой
νερό|вода
νευριάζω|злиться
νηπιαγωγείο|детский сад
νησί|остров
νησιώτικος|островной
Νίκη|Ники
νικητής|победитель
Νίκος|Никос
νοικιάζω|снимать
νονός|крёстный отец
νονά|крёстная мать
νιώθω|чувствовать
νομίζω|полагать
νοσοκόμος|медбрат
νόστιμος|вкусный
νότα|нота
νότιος|южный
νούμερο|номер (размер)
Ντίνα|Дина
ντοκιμαντέρ|документальный фильм
ντομάτα|помидор
ντουλάπα|шкаф
ντουλάπι|шкафчик
ντύνομαι|одеваться
νυστάζω|хотеть спать
νύχτα|ночь
νυχτερινός|ночной
νωρίς|рано
ξάδερφος|двоюродный брат
ξανά|снова
ξαναβλέπω|встречаться снова
ξαναγυρίζω|возвращаться снова
ξαναδιαβάζω|перечитывать
ξαναδίνω|отдавать снова
ξαναμιλάω|говорить снова
ξαναλέω|повторять (сказанное)
ξαναπερνάω|проходить снова
Ξάνθη|Ксанти
ξανθός|блондин
ξεκινάω|начинать (отправляться)
ξεκουράζομαι|отдыхать
ξενοδοχείο|гостиница
ξένος|иностранный
ξεπερνάω|преодолевать
ξεπλένω|полоскать
ξέρω|знать (уметь)
ξεχωριστός|особенный
ξεχνάω|забывать
ξηρός|сухой
ξοδεύω|тратить
ξύδι|уксус
ξύλινος|деревянный
ξυπνάω|просыпаться
ογδόντα|восемьдесят
όγδοος|восьмой
οδοντίατρος|стоматолог
οδηγία|инструкция
οδηγάω|водить
οικογένεια|семья
οινόπνευμα|спирт
Οκτώβριος|октябрь
οδός|дорога
όλοι|все
όλος|весь
ολόκληρος|целый
ομάδα|команда
ομιλητής|оратор
ομίχλη|туман
ομορφιά|красота
όμορφος|красивый
ομπρέλα|зонт
όμως|однако
ονειρεύομαι|мечтать
όνομα|имя
ονοματεπώνυμο|полное имя
οξυγόνο|кислород
όποιος|кто угодно
οριζόντια|горизонтально
όροφος|этаж
όσα|всё что
όταν|когда (союз)
Όσκαρ|Оскар
όσπριο|бобовые
ότι|что (союз)
ουζερί|греческая таверна
ούζο|узо
όχι|нет
πμ|до полудня
πάγος|лёд
παγωτό|мороженое
παγωνιά|мороз
παθαίνω|претерпевать
παιδί|ребёнок
παιδιά|дети
παιδικός|детский
παίζω|играть
παίρνω|брать
παιχνίδι|игра
πάλι|опять
παλιός|старый
παλιά|раньше
παλτό|пальто
Πανεπιστήμιο|университет
πανεπιστημιακός|университетский
πανσέληνος|полнолуние
πάντα|всегда
παντελόνι|брюки
παντζάρι|свёкла
παντρεμένος|женатый
παντρεύω|женить
παντρεύομαι|жениться
πάπλωμα|одеяло (пуховое)
παππούς|дедушка
παραγγέλλω|заказывать
παραγγελία|заказ
παράδειγμα|пример
παραδοσιακός|традиционный
παράθυρο|окно
παρακαλώ|пожалуйста
παρακάτω|ниже
παραλία|пляж
παρακολουθώ|наблюдать
παραμονή|канун
παράπονο|жалоба
παραπάνω|выше
Παρασκευή|пятница
παράσταση|представление
παρατηρώ|замечать
παρατήρηση|замечание
παρέα|компания
πάρκιγκ|парковка
παροιμία|пословица
παρουσιάζω|представлять
παρουσιάζομαι|появляться
πάστα|пирожное
Πάσχα|Пасха
πατάτα|картофель
πάτωμα|пол
πεθαίνω|умирать
πεινάω|быть голодным
πείθω|убеждать
πειράζει|важно
πελάτης|клиент
περίπτωση|случай
Πέμπτη|четверг
πέμπτος|пятый
πενήντα|пятьдесят
πεντάγραμμο|нотный стан
πέντε|пять
πεπόνι|дыня
Περαστικά|Выздоравливай!
περιγράφω|описывать
περιβάλλον|окружающая среда
περιλαμβάνω|включать
περιμένω|ждать
περιοδικό|журнал
περιοχή|район
περίπου|примерно
περισσότερος|больше
περνάω|проводить
περπατάω|ходить пешком
πέρσι|в прошлом году
πετάω|летать
Πέτρος|Петрос
πετσέτα|полотенце
πέφτω|падать
πηγαίνω|идти
πηγαίνει|идёт (к лицу)
πιάνο|пианино
πιάτο|тарелка
πίνακας|доска
πίνω|пить
πιπέρι|перец
πιρούνι|вилка
πισίνα|бассейн (частный)
πιστεύω|верить
πιστοποιητικό|сертификат
πίσω|сзади
πλανήτης|планета
πλαστικός|пластиковый
πλατεία|площадь
πλένω|мыть
πληγή|рана
πληροφορία|информация
πληρώνω|платить
πλησιάζω|приближаться
πλοίο|судно
πλούσιος|богатый
πλυντήριο|стиральная машина
πνίγομαι|задыхаться
ποδήλατο|велосипед
ποδιά|фартук
ποιανού|чей
ποίηση|поэзия
ποιον|кого
ποιος|кто
ποιότητα|качество
πόλη|город
πολιτισμός|культура
πολιτιστικός|культурный
πολίτης|гражданин
πολλοί|многие
πολύ|очень
πολυθρόνα|кресло
πολυκατοικία|многоквартирный дом
πολυκατάστημα|универмаг
πολύς|много
πολύχρωμος|разноцветный
πόνος|боль
πονόδοντος|зубная боль
πονάω|болеть
πονοκέφαλος|головная боль
ποντιακός|понтийский
ποντίκι|мышь
ποντίκια|мыши
πόρτα|дверь
πορτοκάλι|апельсин
πορτοφόλι|кошелёк
πόσοι|сколько (штук)
πόσος|сколько (количество)
ποτήρι|стакан
ποτέ|никогда
πότε|когда (вопрос)
ποτό|напиток
πού|где
πουθενά|нигде
πουκάμισο|рубашка
πουλί|птица
πουλάω|продавать
πράγμα|вещь
πραγματικά|на самом деле
πράξη|действие
πράσινος|зелёный
πρεμιέρα|премьера
πρέπει|должен
πρίζα|розетка
πριν|перед
πρόβλημα|проблема
προβολή|показ
πρόγραμμα|программа
προγραμματισμένος|запланированный
προετοιμάζω|готовиться
προηγούμενος|предыдущий
προϊόν|продукт
πρόκληση|вызов
προλαβαίνω|успевать
προσεκτικά|внимательно
προσέχω|обращать внимание
προσθέτω|добавлять
πρόσκληση|приглашение
προσοχή|внимание
προσπαθώ|стараться
πρόσωπο|лицо
προσκαλώ|приглашать
προσωπικός|личный
προσχολικός|дошкольный
πρόταση|предложение
προτείνω|предлагать
προτιμάω|предпочитать
προφορά|произношение
πτήση|рейс
πρωί|утро
πρωινό|завтрак
πρωινός|утренний
πρώτος|первый
Πρωτοχρονιά|Новый год
πρώτα|сначала
πυραμίδα|пирамида
πυρετός|жар
πυροσβεστική|пожарная служба
πωλητής|продавец
ραδιόφωνο|радио
ραντεβού|свидание
ράτσα|порода
ρεσιτάλ|концерт (сольный)
ρεύμα|электричество
ρίγανη|орегано
ρίχνω|бросать
ρόλος|роль
ρούχο|одежда
ρύζι|рис
ρυθμός|ритм
ρωτάω|спрашивать
Σάββατο|суббота
Σαββατοκύριακο|выходные
σακάκι|пиджак
σακούλα|пакет
σαλάτα|салат
σαλόνι|гостиная
Σαμ|Сэм
σαμπουάν|шампунь
Σαίξπηρ|Шекспир
σαπούνι|мыло
σαράντα|сорок
σβήνω|гасить
σγουρός|кудрявый
σε|в
σειρά|очередь
σελίδα|страница
σεντόνι|простыня
σερβίρω|подавать
σερβιτόρος|официант
Σεπτέμβριος|сентябрь
σημαντικός|важный
σημαίνω|означать
σημασία|значение
σημείωση|заметка
σήμερα|сегодня
σίγουρος|уверенный
σίγουρα|наверняка
σινεμά|кино
σκάλα|лестница
σκάλες|ступеньки
σκέφτομαι|думать
σκέψη|мысль
σκηνή|сцена
σκηνικό|декорации
σκηνοθέτης|режиссёр
σκίτσο|эскиз
σκληρός|твёрдый
σκουπίδι|мусор
σκύλος|собака
σκόνη|порошок
σκοπός|цель
σκόρδο|чеснок
σκορπίζω|рассеивать
σκουπίζω|вытирать
σκούφος|шапка
σοβαρός|серьёзный
σοβαρά|серьёзно
σόδα|сода
σοκολάτα|шоколад
σούπα|суп
σοπράνο|сопрано
Σοφία|София
σπάζω|ломать
σπάνια|редко
σπίτι|дом
σπιτικός|домашний
σπυρί|прыщ
σπουδάζω|учиться (в вузе)
σπουδές|учёба
σπουδαίος|великий
σταγόνα|капля
σταθμός|станция
σταματάω|останавливаться
στέλνω|отправлять
στεναχωρημένος|грустный
στενός|узкий
στήλη|колонка
στιγμή|момент
στιλ|стиль
στόμα|рот
στομάχι|желудок
στοιχείο|данные
στρώμα|матрас
στρώνω|застилать
συγγραφέας|автор
συγκάτοικος|сосед по комнате
συγκρίνω|сравнивать
συγκρότημα|группа (муз.)
συγγνώμη|извинение
συγχαρητήρια|поздравления
σύγχρονος|современный (нынешний)
συζητάω|обсуждать
συζήτηση|обсуждение
συλλέγω|коллекционировать
συλληπητήρια|соболезнования
συμβουλή|совет
συμμαθητής|одноклассник
συμπαθώ|симпатизировать
συμπαθητικός|симпатичный
συμφωνώ|соглашаться
συμπληρώνω|заполнять
συμφοιτητής|однокурсник
συνάδελφος|коллега
συναντάω|встречать
συνάντηση|встреча
